date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:51:09	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Mar%202020%2020:51:09%20GMT	https://emedia.rmit.edu.au/robots.txt		(from )
07:51:09	7805/7805	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202020%2020:51:10%20GMT	https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/index84c0.html	(from )
07:51:09	9457/9457	---M--	200	added ('OK')	text/css	etag:%2224f1-5749b5a1c2226%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5pde48.css	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:09	20536/20536	---M--	200	added ('OK')	application/javascript	etag:%225038-589d867a76176%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/js/popper.min.js?ver=1	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/js/popper.min68b3.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:10	53266/53266	---MC-	200	added ('OK')	application/json	date:Sun,%2001%20Mar%202020%2020:51:11%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=/	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/index52f0.json	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:11	73/73	---M--	404	error ('Not%20Found')	application/json	date:Sun,%2001%20Mar%202020%2020:51:11%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Femedia.rmit.edu.au%2FCHC33015%2F%3Fscorm%3Dfssi-ethics-of-care%2Fintroduction-to-supportive-vs-oppressive-care	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/index9177.php	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:11	132/132	---M--	404	error ('Not%20Found')	text/xml	date:Sun,%2001%20Mar%202020%2020:51:12%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Femedia.rmit.edu.au%2FCHC33015%2F%3Fscorm%3Dfssi-ethics-of-care%2Fintroduction-to-supportive-vs-oppressive-care&format=xml	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/indexaa2d.php	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:12	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%2215283-589d867a703b6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/jquery.min.js	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/jquery.min.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:12	48716/48716	---M--	200	added ('OK')	application/javascript	etag:%22be4c-589d867a7079e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/theme.min.js	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/theme.min.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:12	489262/489262	---M--	200	added ('OK')	text/css	etag:%227772e-589d867a609b6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:12	4325/4325	---M--	200	added ('OK')	image/svg+xml	etag:%2210e5-589d867a6f7fe%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/fssi-white.svg	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/fssi-white.svg	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:13	19398/19398	---M--	200	added ('OK')	image/svg+xml	etag:%224bc6-588f7173de5fb%22	https://emedia.rmit.edu.au/CHC33015/wp-content/uploads/2019/05/by-nc-nd.svg	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/uploads/2019/05/by-nc-nd.svg	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:13	535212/535212	---M--	200	added ('OK')	image/jpeg	etag:%2282aac-57b9ead788441%22	https://emedia.rmit.edu.au/CHC33015/wp-content/uploads/2018/11/supportive-vs-oppressive.jpg	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/uploads/2018/11/supportive-vs-oppressive.jpg	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:13	6532/6532	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%221984-5749b5a1ab6de%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.eot?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.eot	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:51:13	6384/6384	---M--	200	added ('OK')	application/font-sfnt	etag:%2218f0-5749b5a1ace4e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.ttf?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.ttf	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:51:13	15425/15425	---MC-	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202020%2020:51:14%20GMT	https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care/ethics-of-care-supportive-care-vs-oppressive-care-introduction-to-module	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/index5f02.html	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/introduction-to-supportive-vs-oppressive-care)
07:51:14	6460/6460	---M--	200	added ('OK')	application/font-woff	etag:%22193c-5749b5a1ad236%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.woff?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.woff	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:51:14	23295/23295	---M--	200	added ('OK')	image/svg+xml	etag:%225aff-5749b5a1ace4e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-18.svg?cb8kvi	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/fonts/h5p-core-187e87.svg	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
07:51:14	1737/1737	---M--	200	added ('OK')	image/gif	etag:%226c9-5749b5a1ada06%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/images/throbber.gif?ver=1.2.1	C:/xampp/htdocs/wtif-fssi/eoc-soc/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/images/throbber1576.gif	(from https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4)
